lng,lan,number
-8.614089,41.140728,1
-8.568495,41.167656,1
-8.598717,41.16501,1
-8.611902,41.159079,1
-8.62866,41.160825,1
-8.601885,41.181777,1
-8.591301,41.162616,1
-8.624322,41.179554,1
-8.627778,41.175585,1
-8.599257,41.149161,1
-8.6121,41.14944,1
-8.604621,41.129955,1
-8.613918,41.151627,1
-8.613324,41.154354,1
-8.620992,41.161041,1
-8.585649,41.14854,1
-8.610795,41.145606,1
-8.665632,41.170725,1
-8.649333,41.154336,1
-8.582742,41.181183,1
-8.612937,41.148594,1
-8.613999,41.141277,1
-8.617608,41.147154,1
-8.585703,41.148504,1
-8.583075,41.179986,1
-8.584218,41.163201,1
-8.650683,41.15088,1
-8.609058,41.147595,1
-8.606511,41.144571,1
-8.604171,41.161167,1
-8.640684,41.161293,1
-8.600508,41.154525,1
-8.609562,41.160411,1
-8.662554,41.164074,1
-8.600166,41.182695,1
-8.604576,41.15763,1
-8.652141,41.157333,1
-8.627742,41.175396,1
-8.646525,41.177601,1
-8.666226,41.175558,1
-8.604126,41.161095,1
-8.585613,41.148612,1
-8.613144,41.166837,1
-8.613963,41.141187,1
-8.624349,41.179545,1
-8.580249,41.159259,1
-8.6013,41.181759,1
-8.610291,41.140746,1
-8.630145,41.157414,1
-8.625024,41.177223,1
-8.606853,41.174964,1
-8.610885,41.184198,1
-8.610093,41.154651,1
-8.649558,41.167314,1
-8.585685,41.148378,1
-8.556084,41.208084,1
-8.630145,41.157378,1
-8.629227,41.165001,1
-8.610858,41.145786,1
-8.646354,41.169438,1
-8.649495,41.167359,1
-8.619831,41.147973,1
-8.660682,41.170302,1
-8.649,41.150736,1
-8.585622,41.148594,1
-8.660961,41.164407,1
-8.59923,41.149143,1
-8.613999,41.141295,1
-8.672769,41.1489,1
-8.580006,41.159349,1
-8.610867,41.145651,1
-8.619327,41.142105,1
-8.585631,41.148558,1
-8.613315,41.164191,1
-8.638218,41.154273,1
-8.628165,41.157279,1
-8.682786,41.158215,1
-8.609481,41.160366,1
-8.610912,41.145669,1
-8.688402,41.208462,1
-8.614854,41.175603,1
-8.600166,41.182731,1
-8.620974,41.160996,1
-8.603199,41.186835,1
-8.569719,41.166054,1
-8.591202,41.162643,1
-8.596431,41.142807,1
-8.665632,41.170653,1
-8.62776,41.175423,1
-8.622612,41.155794,1
-8.6121,41.167755,1
-8.621046,41.16105,1
-8.604774,41.161185,1
-8.624421,41.179509,1
-8.630712,41.154966,1
-8.64981,41.154309,1
-8.671041,41.168394,1
-8.611146,41.172039,1
-8.630163,41.157405,1
-8.606907,41.146074,1
-8.627832,41.157612,1
-8.567055,41.152725,1
-8.510175,41.200983,1
-8.638515,41.170869,1
-8.634042,41.171904,1
-8.628129,41.15736,1
-8.607456,41.145417,1
-8.60418,41.161113,1
-8.58564,41.148522,1
-8.601777,41.169897,1
-8.630649,41.154984,1
-8.631099,41.146335,1
-8.627373,41.17086,1
-8.606484,41.144625,1
-8.627733,41.175468,1
-8.585289,41.175558,1
-8.58564,41.148621,1
-8.637237,41.169483,1
-8.599239,41.149143,1
-8.623476,41.166585,1
-8.631036,41.178177,1
-8.608518,41.154444,1
-8.599869,41.167107,1
-8.622396,41.147199,1
-8.624295,41.155632,1
-8.64945,41.167269,1
-8.585649,41.148549,1
-8.649531,41.16735,1
-8.609616,41.151321,1
-8.636751,41.159286,1
-8.612163,41.148738,1
-8.604081,41.161131,1
-8.609634,41.151735,1
-8.604819,41.161122,1
-8.606331,41.150979,1
-8.611263,41.172084,1
-8.61993,41.147964,1
-8.608185,41.169879,1
-8.577009,41.144337,1
-8.627733,41.175423,1
-8.580339,41.190399,1
-8.649459,41.164911,1
-8.620074,41.150979,1
-8.615727,41.176323,1
-8.646624,41.175576,1
-8.56998,41.166009,1
-8.580177,41.159412,1
